n,ecg_data_interp,ecg_signal_quant
181,1.53287288971864,7972
182,1.53440824262128,7980
183,1.53556336943469,7986
184,1.53642857142653,7991
185,1.53661222368395,7992
186,1.53646222711664,7991
187,1.53583481284168,7988
188,1.53448051947847,7981
189,1.53123311221815,7964
190,1.52731287157396,7943
191,1.52304728154532,7921
192,1.51870129869923,7899
193,1.51399110408234,7874
194,1.5096898131765,7852
195,1.50598370280292,7833
196,1.50292207791998,7817
197,1.49962883657395,7799
198,1.49733182540688,7788
199,1.49631509471431,7782
200,1.4966883116862,7784
201,1.49793698228168,7791
202,1.50049755113265,7804
203,1.50420582506635,7823
204,1.50876623376413,7847
205,1.51296869002728,7869
206,1.51781386986908,7894
207,1.52338146971942,7923
208,1.5296103896083,7955
209,1.53568971549255,7987
210,1.54210678357218,8020
211,1.54856169591523,8054
212,1.5545454545434,8085
213,1.55892306342409,8108
214,1.56181277007192,8123
215,1.5628873482455,8129
216,1.561948051946,8124
217,1.55801262156542,8103
218,1.55289878988613,8077
219,1.54751513154592,8049
220,1.54266233766024,8023
221,1.53852502609123,8002
222,1.53586808934088,7988
223,1.53470337513224,7982
224,1.53467532467321,7982
225,1.53449961851524,7981
226,1.53455155778485,7981
227,1.53450553353879,7981
228,1.53409090908879,7979
229,1.53228921474079,7969
230,1.53051186744377,7960
231,1.52933428325557,7954
232,1.52922077921865,7953
233,1.53006375832624,7958
234,1.5323760324506,7970
235,1.53600593493284,7989
236,1.54051948051736,8012
237,1.54444742500433,8033
238,1.54847827665718,8054
239,1.55238946073805,8074
240,1.555909090907,8092
241,1.55813180559273,8104
242,1.55975191679647,8112
243,1.56082785393587,8118
244,1.56136363636154,8121
245,1.56068880570557,8117
246,1.55972139992535,8112
247,1.55867673285502,8107
248,1.55766233766022,8101
249,1.55596091628359,8092
250,1.55465813944931,8086
251,1.55397722559237,8082
252,1.5539610389589,8082
253,1.55388801554769,8082
254,1.55442296873065,8084
255,1.55549147799741,8090
256,1.55688311688098,8097
257,1.55766976823347,8101
258,1.55856112692496,8106
259,1.55959847337828,8111
260,1.56077922077708,8118
261,1.56123419456664,8120
262,1.56219704113681,8125
263,1.56392521481381,8134
264,1.56642857142645,8147
265,1.56917828914024,8161
266,1.5720789411824,8176
267,1.57460158941989,8189
268,1.57616883116672,8198
269,1.57501330898412,8192
270,1.57289546726704,8181
271,1.57034943177216,8167
272,1.5677922077901,8154
273,1.56543112333316,8142
274,1.5630987815915,8130
275,1.56044990298395,8116
276,1.55707792207578,8098
277,1.55145971058335,8069
278,1.54556308947846,8038
279,1.54026543125454,8011
280,1.53642857142639,7991
281,1.53435361036046,7980
282,1.5350154701104,7984
283,1.53859256187727,8002
284,1.54480519480301,8034
285,1.55237887358312,8074
286,1.56129890226399,8120
287,1.57075781858553,8169
288,1.579870129868,8217
289,1.58684172428555,8253
290,1.59255736146072,8283
291,1.59704006994851,8306
292,1.60032467532258,8323
293,1.60217078829835,8333
294,1.60282723320524,8336
295,1.60224102619954,8333
296,1.60032467532257,8323
297,1.59582395503871,8300
298,1.59071006000534,8273
299,1.58568676524144,8247
300,1.58123376623163,8224
301,1.57747248553386,8204
302,1.57427027323446,8188
303,1.57121140923005,8172
304,1.56779220779005,8154
305,1.56237191314722,8126
306,1.55677847720794,8097
307,1.55173273996951,8070
