k,ecg_signal,ecg_signal_scaled,ecg_data_offset
0,-0.0101,-0.0393506493506494,1.38954545454545
1,-0.00834999999999997,-0.0325324675324674,1.39636363636364
2,-0.00854999999999995,-0.0333116883116881,1.39558441558442
3,-0.00495000000000001,-0.0192857142857143,1.40961038961039
4,-0.001,-0.0038961038961039,1.425
5,0.00180000000000002,0.00701298701298709,1.43590909090909
6,0.00470000000000004,0.0183116883116885,1.44720779220779
7,0.00570000000000004,0.0222077922077924,1.4511038961039
8,0.003,0.0116883116883117,1.44058441558442
9,0.000250000000000083,0.000974025974026297,1.42987012987013
10,-0.000599999999999934,-0.00233766233766208,1.42655844155844
11,0.000500000000000056,0.00194805194805217,1.43084415584416
12,0.00535000000000008,0.0208441558441562,1.44974025974026
13,0.00970000000000004,0.0377922077922079,1.46668831168831
14,0.0118,0.045974025974026,1.47487012987013
15,0.00875000000000004,0.0340909090909092,1.46298701298701
16,0.00445000000000007,0.0173376623376626,1.44623376623377
17,0.000800000000000023,0.00311688311688321,1.43201298701299
18,0.00175000000000003,0.00681818181818193,1.43571428571429
19,0.00385000000000002,0.0150000000000001,1.4438961038961
20,0.0081,0.0315584415584416,1.46045454545455
21,0.0114500000000001,0.04461038961039,1.47350649350649
22,0.01005,0.0391558441558442,1.46805194805195
23,0.0101,0.0393506493506494,1.46824675324675
24,0.0102000000000001,0.0397402597402601,1.46863636363636
25,0.01295,0.0504545454545455,1.47935064935065
26,0.0153000000000001,0.05961038961039,1.48850649350649
27,0.0144500000000001,0.0562987012987017,1.48519480519481
28,0.00914999999999999,0.0356493506493506,1.46454545454545
29,0.00695000000000001,0.0270779220779221,1.45597402597403
30,0.00680000000000003,0.0264935064935066,1.45538961038961
31,0.01165,0.0453896103896104,1.47428571428571
32,0.017,0.0662337662337662,1.49512987012987
33,0.02085,0.0812337662337662,1.51012987012987
34,0.024,0.0935064935064935,1.5224025974026
35,0.0218,0.0849350649350649,1.51383116883117
36,0.0185000000000001,0.0720779220779225,1.50097402597403
37,0.0146500000000001,0.0570779220779225,1.48597402597403
38,0.01295,0.0504545454545455,1.47935064935065
39,0.01275,0.0496753246753247,1.47857142857143
40,0.0168,0.0654545454545454,1.49435064935065
41,0.0192,0.0748051948051948,1.5037012987013
42,0.01905,0.0742207792207792,1.50311688311688
43,0.02015,0.0785064935064935,1.5074025974026
44,0.02225,0.0866883116883117,1.51558441558442
45,0.02615,0.101883116883117,1.53077922077922
46,0.0276000000000001,0.107532467532468,1.53642857142857
47,0.0271,0.105584415584416,1.53448051948052
48,0.02305,0.0898051948051948,1.5187012987013
49,0.019,0.074025974025974,1.50292207792208
50,0.0174000000000001,0.0677922077922082,1.49668831168831
51,0.0205000000000001,0.0798701298701303,1.50876623376623
52,0.02585,0.100714285714286,1.52961038961039
53,0.03225,0.125649350649351,1.55454545454545
54,0.03415,0.133051948051948,1.56194805194805
55,0.0292,0.113766233766234,1.54266233766234
56,0.02715,0.105779220779221,1.53467532467532
57,0.027,0.105194805194805,1.53409090909091
