t_recon,spikes,recon,th
0.03277875,-0.25,1.65,0.512890625
0.0327895,-0.25,1.637109375,0.512890625
0.03280025,-0.25,1.62421875,0.512890625
0.032811,-0.25,1.5984375,0.52578125
0.102956625,0.25,1.65,0.512890625
0.11345275,-0.25,1.62421875,0.52578125
0.18149925,0.25,1.5984375,0.512890625
0.188367625,0.25,1.611328125,0.512890625
0.192193375,0.25,1.62421875,0.512890625
0.20609125,-0.25,1.5984375,0.52578125
0.21226825,0.25,1.611328125,0.512890625
0.212877625,0.25,1.62421875,0.512890625
0.213541125,0.25,1.637109375,0.512890625
0.217116625,-0.25,1.611328125,0.52578125
0.25626225,-0.25,1.559765625,0.5515625
0.259603375,0.25,1.585546875,0.52578125
0.260082375,0.25,1.5984375,0.512890625
0.26068325,0.25,1.611328125,0.512890625
0.265217625,-0.25,1.585546875,0.52578125
0.278824625,0.25,1.637109375,0.5515625
0.2811845,-0.25,1.611328125,0.52578125
0.281786875,-0.25,1.5984375,0.512890625
0.282522125,-0.25,1.585546875,0.512890625
0.286363625,0.25,1.611328125,0.52578125
0.315405,-0.25,1.559765625,0.5515625
0.318277375,0.25,1.585546875,0.52578125
0.319100375,0.25,1.5984375,0.512890625
0.321384875,-0.25,1.585546875,0.512890625
0.32202175,-0.25,1.57265625,0.512890625
0.32266925,-0.25,1.559765625,0.512890625
0.32971375,0.25,1.585546875,0.52578125
0.349946875,0.25,1.637109375,0.5515625
0.351436,0.25,1.662890625,0.52578125
0.354343,-0.25,1.637109375,0.52578125
0.356048625,0.25,1.662890625,0.52578125
0.357076625,0.25,1.688671875,0.52578125
0.373143875,-0.25,1.637109375,0.5515625
0.377161625,0.25,1.662890625,0.52578125
0.378665875,-0.25,1.65,0.512890625
0.379522875,-0.25,1.637109375,0.512890625
0.3804175,-0.25,1.62421875,0.512890625
0.3883355,-0.25,1.5984375,0.52578125
0.3920895,-0.25,1.546875,0.5515625
0.459729625,-0.25,1.4953125,0.512890625
0.475470625,0.25,1.52109375,0.52578125
0.476900875,-0.25,1.508203125,0.512890625
0.47787325,-0.25,1.4953125,0.512890625
0.480826125,0.25,1.508203125,0.512890625
0.481600625,0.25,1.52109375,0.512890625
0.482651,0.25,1.533984375,0.512890625
0.486918125,0.25,1.559765625,0.52578125
0.510831375,-0.25,1.508203125,0.5515625
0.51337425,0.25,1.533984375,0.52578125
0.5154465,-0.25,1.52109375,0.512890625
0.516034875,-0.25,1.508203125,0.512890625
0.516624875,-0.25,1.4953125,0.512890625
0.523655125,-0.25,1.46953125,0.52578125
0.531885875,0.25,1.52109375,0.5515625
0.53405275,0.25,1.62421875,0.603125
0.5362655,0.25,1.72734375,0.603125
0.537807125,0.25,1.83046875,0.603125
0.538950125,0.25,1.93359375,0.603125
0.5399255,0.25,2.03671875,0.603125
0.540822,0.25,2.13984375,0.603125
0.541681375,0.25,2.24296875,0.603125
0.54249725,0.25,2.34609375,0.603125
0.5433445,0.25,2.44921875,0.603125
0.5441405,0.25,2.55234375,0.603125
0.544898875,0.25,2.65546875,0.603125
0.54563725,0.25,2.75859375,0.603125
0.54635725,0.25,2.86171875,0.603125
0.547097625,0.25,2.96484375,0.603125
0.54786975,0.25,3.06796875,0.603125
0.548814875,0.25,3.17109375,0.603125
0.56234325,-0.25,3.06796875,0.603125
0.564884,-0.25,2.96484375,0.603125
0.565645125,-0.25,2.86171875,0.603125
0.56619675,-0.25,2.75859375,0.603125
0.56666425,-0.25,2.65546875,0.603125
0.567080375,-0.25,2.55234375,0.603125
0.56746275,-0.25,2.44921875,0.603125
0.567846375,-0.25,2.34609375,0.603125
0.568183,-0.25,2.24296875,0.603125
0.56852025,-0.25,2.13984375,0.603125
0.56885475,-0.25,2.03671875,0.603125
0.56918825,-0.25,1.93359375,0.603125
0.569523375,-0.25,1.83046875,0.603125
0.569860625,-0.25,1.72734375,0.603125
0.570199375,-0.25,1.62421875,0.603125
0.570546625,-0.25,1.52109375,0.603125
0.57090575,-0.25,1.41796875,0.603125
0.57127175,-0.25,1.31484375,0.603125
0.571654125,-0.25,1.21171875,0.603125
0.572054125,-0.25,1.10859375,0.603125
0.572481375,-0.25,1.00546875,0.603125
0.5729345,-0.25,0.90234375,0.603125
0.57342975,-0.25,0.79921875,0.603125
0.573976625,-0.25,0.69609375,0.603125
0.574598625,-0.25,0.59296875,0.603125
0.575350125,-0.25,0.48984375,0.603125
0.576371625,-0.25,0.38671875,0.603125
0.578199875,-0.25,0.28359375,0.603125
0.5821985,0.25,0.38671875,0.603125
0.58349575,0.25,0.48984375,0.603125
0.584667875,0.25,0.59296875,0.603125
0.585916875,0.25,0.69609375,0.603125
0.587790625,0.25,0.79921875,0.603125
0.590274125,0.25,0.90234375,0.603125
0.59254575,0.25,1.00546875,0.603125
0.603694375,0.25,1.10859375,0.603125
0.610781125,0.25,1.21171875,0.603125
0.639885375,0.25,1.31484375,0.603125
0.644946875,0.25,1.36640625,0.5515625
0.652334125,0.25,1.41796875,0.5515625
0.68954675,0.25,1.52109375,0.52578125
0.708433375,0.25,1.57265625,0.5515625
0.711728125,-0.25,1.546875,0.52578125
0.7121805,-0.25,1.533984375,0.512890625
0.712631625,-0.25,1.52109375,0.512890625
0.717166,-0.25,1.4953125,0.52578125
0.72873075,0.25,1.546875,0.5515625
0.7303845,0.25,1.57265625,0.52578125
0.735599,0.25,1.5984375,0.52578125
0.755781,0.25,1.65,0.5515625
0.7596075,0.25,1.67578125,0.52578125
0.762691,-0.25,1.65,0.52578125
0.767226625,0.25,1.67578125,0.52578125
0.786150375,0.25,1.7015625,0.52578125
0.786590375,0.25,1.714453125,0.512890625
0.78714275,0.25,1.72734375,0.512890625
0.789833375,0.25,1.753125,0.52578125
