t_recon,spikes,analog_signal,recon,squared_error
0.00212584,0.25,1.84976047103014,1.85625,4.21139862505872e-05
0.00323688,0.25,1.95297000058498,1.959375,4.10240175063829e-05
0.00437642,0.25,2.05728948033884,2.0625,2.71495151392821e-05
0.00552276,0.25,2.16012462414318,2.165625,3.02541345662927e-05
0.00670314,0.25,2.26324370032156,2.26875,3.03193361488357e-05
0.00793388,0.25,2.3671634427102,2.371875,2.21987720950591e-05
0.00922142,0.25,2.47128156840108,2.475,1.38267335558421e-05
0.01057472,0.25,2.57491485315335,2.578125,1.03050427770291e-05
0.01199896,0.25,2.67674920487931,2.68125,2.02571567184261e-05
0.01359684,0.25,2.78118150247637,2.784375,1.01984264334272e-05
0.01540332,0.25,2.88547636950966,2.8875,4.09508036142041e-06
0.01753368,0.25,2.98794787887841,2.990625,7.16697749964855e-06
0.02055134,0.25,3.09178298074725,3.09375,3.86916474068612e-06
0.03254888,-0.25,2.98441202860908,2.990625,3.86010135043935e-05
0.03467116,-0.25,2.88148207501565,2.8875,3.62154211172205e-05
0.03643466,-0.25,2.77922956852271,2.784375,2.64754650875058e-05
0.0380167,-0.25,2.67567274246709,2.68125,3.11058015883895e-05
0.03945572,-0.25,2.57265456536346,2.578125,2.99256551126512e-05
0.04080706,-0.25,2.46903415726585,2.475,3.5591279528645e-05
0.04205818,-0.25,2.36782060976252,2.371875,1.64380801977776e-05
0.04329682,-0.25,2.26324714078183,2.26875,3.02814595749675e-05
0.04446054,-0.25,2.16160446701422,2.165625,1.61646854897422e-05
0.04561656,-0.25,2.0579262037415,2.0625,2.09196122142784e-05
0.04674282,-0.25,1.95484355121184,1.959375,2.05340281196909e-05
0.04784124,-0.25,1.85283504236105,1.85625,1.16619356758256e-05
0.04893806,-0.25,1.75001123939843,1.753125,9.6955050839178e-06
0.05003084,-0.25,1.64709340029586,1.65,8.44832184012468e-06
0.05112124,-0.25,1.54441301076956,1.546875,6.06139097081374e-06
0.05221476,-0.25,1.44193682490949,1.44375,3.28760390884651e-06
0.0533312,-0.25,1.33832913481871,1.340625,5.27099693067757e-06
0.05445112,-0.25,1.2359392188203,1.2375,2.436037890892e-06
0.05559756,-0.25,1.13325149685212,1.134375,1.26225932328881e-06
0.05677908,-0.25,1.03023158771753,1.03125,1.03716357708466e-06
0.05800744,-0.25,0.926755098533196,0.928125,1.8766300287537e-06
0.05927146,-0.25,0.824776053828904,0.825,5.01518875487583e-08
0.06062212,-0.25,0.721572252644078,0.721875,9.16559615181356e-08
0.06205018,-0.25,0.619736900132357,0.61875,9.73971871245003e-07
0.063617,-0.25,0.517571584761503,0.515625,3.78919223371613e-06
0.0654075,-0.25,0.414300261939484,0.4125,3.24094305075435e-06
0.06753916,-0.25,0.311818698764783,0.309375,5.97166365300092e-06
0.07049978,-0.25,0.209565256366502,0.20625,1.09909247756303e-05
0.08236138,0.25,0.30760976541417,0.309375,3.1160531430112e-06
0.08450664,0.25,0.409731001280922,0.4125,7.66735390625553e-06
0.08631914,0.25,0.513633793857276,0.515625,3.96490190282343e-06
0.08791658,0.25,0.61746221151461,0.61875,1.6583991831034e-06
0.08936884,0.25,0.720903217040867,0.721875,9.44362119661343e-07
0.09069674,0.25,0.822274942686161,0.825,7.42593736371158e-06
0.0919716,0.25,0.925025085750219,0.928125,9.60946835599846e-06
0.09318124,0.25,1.02682791292096,1.03125,1.95548541346392e-05
0.09436266,0.25,1.12973343751068,1.134375,2.15441023422204e-05
0.09551466,0.25,1.2328403296151,1.2375,2.1712528095908e-05
0.09664104,0.25,1.33577039179169,1.340625,2.35672208562368e-05
0.09774698,0.25,1.43836636715515,1.44375,2.89835026081859e-05
0.09883104,0.25,1.53992714432835,1.546875,4.82726984341379e-05
0.0999277,0.25,1.64318590897093,1.65,4.6431836552409e-05
0.10101864,0.25,1.74593902630755,1.753125,5.16382179085133e-05
0.10212442,0.25,1.84962783046592,1.85625,4.38531293380828e-05
0.10323576,0.25,1.9528666178994,1.959375,4.2359037567425e-05
0.10437226,0.25,2.05691212536788,2.0625,3.12243429043233e-05
0.10552692,0.25,2.16049330825294,2.165625,2.63342601868627e-05
0.10670184,0.25,2.26313188325399,2.26875,3.15632357717766e-05
0.10793176,0.25,2.36698794725384,2.371875,2.3883284543702e-05
0.10921828,0.25,2.47103391387048,2.475,1.57298391867893e-05
0.11057436,0.25,2.57488814151425,2.578125,1.04772528567592e-05
0.11200346,0.25,2.67705834934027,2.68125,1.75699352531901e-05
0.1135942,0.25,2.78101808183792,2.784375,1.12688995468925e-05
0.1153987,0.25,2.88522938933129,2.8875,5.15567280886388e-06
0.11753288,0.25,2.98791378935288,2.990625,7.35066317302969e-06
0.12054886,0.25,3.09171847777696,3.09375,4.12708254271998e-06
0.13254634,-0.25,2.98452134668033,2.990625,3.72545838467064e-05
0.13467212,-0.25,2.88143041485486,2.8875,3.68398638341257e-05
0.13643778,-0.25,2.77903599322184,2.784375,2.85049933771769e-05
0.1380156,-0.25,2.67574838848458,2.68125,3.02677292665806e-05
0.13945388,-0.25,2.57279128840781,2.578125,2.84484793486227e-05
0.14080682,-0.25,2.46905310709124,2.475,3.53655352682341e-05
0.1420613,-0.25,2.36756239917211,2.371875,1.85985259006924e-05
0.1432969,-0.25,2.2632402598574,2.26875,3.03572364389201e-05
0.1444617,-0.25,2.16150169371885,2.165625,1.70016546881609e-05
0.14561544,-0.25,2.05802778190387,2.0625,2.00007346993315e-05
0.14674554,-0.25,1.95459254259325,1.959375,2.28718988473746e-05
0.14784306,-0.25,1.85266508556409,1.85625,1.28516115128287e-05
0.14894014,-0.25,1.74981563938075,1.753125,1.09518677082326e-05
0.15002932,-0.25,1.64723665666495,1.65,7.63606638737149e-06
0.1511217,-0.25,1.54436976437658,1.546875,6.27620552883412e-06
0.15221584,-0.25,1.44183602174567,1.44375,3.66331275805592e-06
0.15333276,-0.25,1.33818531856635,1.340625,5.95204549770101e-06
0.15444858,-0.25,1.23616931221807,1.2375,1.77072997297635e-06
0.15559798,-0.25,1.13321433603666,1.134375,1.34714083578973e-06
0.15678076,-0.25,1.03008740226923,1.03125,1.35163348358765e-06
0.15801082,-0.25,0.926476032555387,0.928125,2.71909363339486e-06
0.15927502,-0.25,0.824495891275784,0.825,2.5412560583149e-07
0.16061966,-0.25,0.721754365072051,0.721875,1.45527858412345e-08
0.16205124,-0.25,0.619664292504934,0.61875,8.3593078457792e-07
0.16361642,-0.25,0.517607432868094,0.515625,3.93004007649794e-06
0.16541672,-0.25,0.413807870005642,0.4125,1.71052395165605e-06
0.16753806,-0.25,0.311865540891742,0.309375,6.20279393343599e-06
0.1705058,-0.25,0.209407060241906,0.20625,9.9670293710219e-06
0.18235498,0.25,0.307340724655954,0.309375,4.13827617539342e-06
0.18450812,0.25,0.409809457931188,0.4125,7.2390166240503e-06
0.18632296,0.25,0.513868832190723,0.515625,3.08412537434198e-06
0.18792042,0.25,0.617724761516783,0.61875,1.05111394747047e-06
0.18936426,0.25,0.720564373125834,0.721875,1.71774280328716e-06
0.19070058,0.25,0.822576788430231,0.825,5.87195431186391e-06
0.19197546,0.25,0.925343591064102,0.928125,7.73623566869609e-06
0.19318376,0.25,1.02704395875272,1.03125,1.76907829738559e-05
0.1943665,0.25,1.13007289763493,1.134375,1.85080847595543e-05
0.19551848,0.25,1.23318616519373,1.2375,1.86091707358144e-05
0.19663976,0.25,1.33565243240055,1.340625,2.47264285310522e-05
0.1977457,0.25,1.43824693742694,1.44375,3.02836976830491e-05
0.19883112,0.25,1.53993466382409,1.546875,4.81682662346042e-05
0.1999217,0.25,1.64262042862573,1.65,5.44580736680031e-05
0.20102162,0.25,1.74621930795117,1.753125,4.76885826733347e-05
0.20212328,0.25,1.8495213432291,1.85625,4.52748219405151e-05
0.20323434,0.25,1.95273554126683,1.959375,4.40824122694226e-05
0.2043761,0.25,2.05726045402096,2.0625,2.74528420664902e-05
0.20552662,0.25,2.16046672162314,2.165625,2.66078358131265e-05
0.20670378,0.25,2.26329874722114,2.26875,2.97161568589846e-05
0.2079339,0.25,2.36716509826713,2.371875,2.21831743333023e-05
0.20922088,0.25,2.4712389804073,2.475,1.41452683766318e-05
0.21057206,0.25,2.57471747265121,2.578125,1.16112426327678e-05
0.21200582,0.25,2.67722044561523,2.68125,1.62373085398168e-05
0.21359388,0.25,2.78099827116093,2.784375,1.14022976525847e-05
