t_recon,spikes,recon,th
0.03277875,-0.25,1.65,0.512890625
0.0327895,-0.25,1.637109375,0.512890625
0.03280025,-0.25,1.62421875,0.512890625
0.032811,-0.25,1.5984375,0.52578125
0.10292975,0.25,1.65,0.512890625
0.113493875,-0.25,1.62421875,0.52578125
0.18146625,0.25,1.5984375,0.512890625
0.188321375,0.25,1.611328125,0.512890625
0.192131125,0.25,1.62421875,0.512890625
0.206149125,-0.25,1.5984375,0.52578125
0.212213125,0.25,1.611328125,0.512890625
0.212842625,0.25,1.62421875,0.512890625
0.21348125,0.25,1.637109375,0.512890625
0.217156125,-0.25,1.611328125,0.52578125
0.256284125,-0.25,1.559765625,0.5515625
0.25957775,0.25,1.585546875,0.52578125
0.26005825,0.25,1.5984375,0.512890625
0.260630125,0.25,1.611328125,0.512890625
0.265334,-0.25,1.585546875,0.52578125
0.27876775,0.25,1.637109375,0.5515625
0.281236,-0.25,1.611328125,0.52578125
0.28183,-0.25,1.5984375,0.512890625
0.28255925,-0.25,1.585546875,0.512890625
0.28630375,0.25,1.611328125,0.52578125
0.3154565,-0.25,1.559765625,0.5515625
0.31821975,0.25,1.585546875,0.52578125
0.31902525,0.25,1.5984375,0.512890625
0.32146475,-0.25,1.585546875,0.512890625
0.322067875,-0.25,1.57265625,0.512890625
0.322734875,-0.25,1.559765625,0.512890625
0.329596625,0.25,1.585546875,0.52578125
0.349924,0.25,1.637109375,0.5515625
0.351353125,0.25,1.662890625,0.52578125
0.357035,0.25,1.688671875,0.52578125
0.373192125,-0.25,1.637109375,0.5515625
0.3770875,0.25,1.662890625,0.52578125
0.378752,-0.25,1.65,0.512890625
0.379614375,-0.25,1.637109375,0.512890625
0.380474375,-0.25,1.62421875,0.512890625
0.388863,-0.25,1.5984375,0.52578125
0.392108125,-0.25,1.546875,0.5515625
0.459865125,-0.25,1.4953125,0.512890625
0.47524825,0.25,1.52109375,0.52578125
0.477027375,-0.25,1.508203125,0.512890625
0.477937,-0.25,1.4953125,0.512890625
0.480768875,0.25,1.508203125,0.512890625
0.481558625,0.25,1.52109375,0.512890625
0.482589125,0.25,1.533984375,0.512890625
0.486821125,0.25,1.559765625,0.52578125
0.510920875,-0.25,1.508203125,0.5515625
0.51330525,0.25,1.533984375,0.52578125
0.515477625,-0.25,1.52109375,0.512890625
0.516064375,-0.25,1.508203125,0.512890625
0.516678,-0.25,1.4953125,0.512890625
0.523690625,-0.25,1.46953125,0.52578125
0.5318635,0.25,1.52109375,0.5515625
0.534042,0.25,1.62421875,0.603125
0.53625725,0.25,1.72734375,0.603125
0.538939625,0.25,1.93359375,0.70625
0.54249775,0.25,2.34609375,0.9125
0.54562325,0.25,2.75859375,0.9125
0.548786375,0.25,3.17109375,0.9125
0.56728475,-0.25,2.475,0.9125
0.568020875,-0.25,2.26875,0.70625
0.56869175,-0.25,2.0625,0.70625
0.57003125,-0.25,1.65,0.9125
0.57146425,-0.25,1.2375,0.9125
0.573176,-0.25,0.825,0.9125
0.57583,-0.25,0.4125,0.9125
0.589734375,0.25,0.825,0.9125
0.60262325,0.25,1.03125,0.70625
0.637386125,0.25,1.2375,0.70625
0.65039525,0.25,1.340625,0.603125
0.6809535,0.25,1.44375,0.603125
0.70061325,0.25,1.4953125,0.5515625
0.703206625,0.25,1.52109375,0.52578125
0.704982875,-0.25,1.4953125,0.52578125
0.70839075,0.25,1.52109375,0.52578125
0.711746375,-0.25,1.4953125,0.52578125
0.712679125,-0.25,1.46953125,0.52578125
0.717242625,-0.25,1.44375,0.52578125
0.72870775,0.25,1.4953125,0.5515625
0.7302935,0.25,1.52109375,0.52578125
0.735502,0.25,1.546875,0.52578125
0.755755375,0.25,1.5984375,0.5515625
0.75927625,0.25,1.62421875,0.52578125
0.762754875,-0.25,1.5984375,0.52578125
0.767200875,0.25,1.62421875,0.52578125
0.78611325,0.25,1.65,0.52578125
0.786571125,0.25,1.662890625,0.512890625
0.78710925,0.25,1.67578125,0.512890625
0.789649875,0.25,1.7015625,0.52578125
0.792780375,0.25,1.753125,0.5515625
0.806731125,0.25,1.85625,0.603125
0.818868875,0.25,1.959375,0.603125
0.825606125,0.25,2.0625,0.603125
0.860892875,-0.25,1.959375,0.603125
0.863173625,-0.25,1.9078125,0.5515625
0.86796675,-0.25,1.85625,0.5515625
0.87323825,-0.25,1.753125,0.603125
0.880162875,-0.25,1.546875,0.70625
0.893147,-0.25,1.134375,0.9125
0.92045925,-0.25,0.721875,0.9125
0.9614605,0.25,0.928125,0.70625
0.970448,0.25,1.03125,0.603125
0.9867715,0.25,1.134375,0.603125
0.9924905,0.25,1.1859375,0.5515625
0.9957835,0.25,1.2375,0.5515625
1.01437925,0.25,1.340625,0.603125
1.028605125,0.25,1.3921875,0.5515625
1.033081,0.25,1.44375,0.5515625
1.037272625,0.25,1.4953125,0.5515625
1.083706375,0.25,1.5984375,0.52578125
1.103602375,0.25,1.65,0.5515625
1.107143,-0.25,1.62421875,0.52578125
1.1118045,-0.25,1.611328125,0.512890625
1.1126225,-0.25,1.5984375,0.512890625
1.115705375,-0.25,1.57265625,0.52578125
1.132861,0.25,1.62421875,0.5515625
1.141789625,0.25,1.65,0.52578125
1.143130125,0.25,1.67578125,0.52578125
1.145927625,-0.25,1.62421875,0.5515625
1.169564125,-0.25,1.52109375,0.603125
1.189695625,0.25,1.57265625,0.5515625
1.193466875,0.25,1.5984375,0.52578125
1.197027625,-0.25,1.57265625,0.52578125
1.198271125,-0.25,1.546875,0.52578125
1.2017125,0.25,1.57265625,0.52578125
1.205443375,-0.25,1.546875,0.52578125
1.207033,-0.25,1.52109375,0.52578125
1.212861,0.25,1.57265625,0.5515625
1.319028125,0.25,1.546875,0.52578125
