t_recon,spikes,recon,th
0.03277875,-0.25,1.65,0.512890625
0.0327895,-0.25,1.637109375,0.512890625
0.03280025,-0.25,1.62421875,0.512890625
0.032811,-0.25,1.5984375,0.52578125
0.17086725,-0.25,1.57265625,0.512890625
0.171937375,-0.25,1.559765625,0.512890625
0.39278675,-0.25,1.533984375,0.512890625
0.393134,-0.25,1.52109375,0.512890625
0.394089125,-0.25,1.4953125,0.52578125
0.524280875,-0.25,1.46953125,0.512890625
0.52517325,-0.25,1.456640625,0.512890625
0.534625875,0.25,1.482421875,0.52578125
0.5349265,0.25,1.4953125,0.512890625
0.535215875,0.25,1.508203125,0.512890625
0.535761375,0.25,1.533984375,0.52578125
0.536691,0.25,1.585546875,0.5515625
0.538102625,0.25,1.688671875,0.603125
0.540144,0.25,1.894921875,0.70625
0.5435345,0.25,2.307421875,0.9125
0.5465285,0.25,2.719921875,0.9125
0.568018375,-0.25,2.307421875,0.9125
0.56869325,-0.25,2.101171875,0.70625
0.56935675,-0.25,1.894921875,0.70625
0.570727125,-0.25,1.482421875,0.9125
0.572268,-0.25,1.069921875,0.9125
0.574277875,-0.25,0.657421874999999,0.9125
0.63062925,0.25,1.069921875,0.603125
0.637384,0.25,1.121484375,0.5515625
0.639551,0.25,1.147265625,0.52578125
0.6431755,0.25,1.173046875,0.52578125
0.64473025,0.25,1.198828125,0.52578125
0.650392625,0.25,1.224609375,0.52578125
0.651029625,0.25,1.2375,0.512890625
0.652184125,0.25,1.250390625,0.512890625
0.6693925,0.25,1.276171875,0.52578125
0.6699175,0.25,1.2890625,0.512890625
0.670588125,0.25,1.301953125,0.512890625
0.6809535,0.25,1.327734375,0.52578125
0.682179375,0.25,1.340625,0.512890625
0.6895135,0.25,1.353515625,0.512890625
0.69915425,0.25,1.36640625,0.512890625
0.70056975,0.25,1.379296875,0.512890625
0.701724125,0.25,1.3921875,0.512890625
0.70907725,0.25,1.41796875,0.52578125
0.735553375,0.25,1.430859375,0.512890625
0.7393635,0.25,1.44375,0.512890625
0.740406375,0.25,1.456640625,0.512890625
0.74161525,0.25,1.46953125,0.512890625
0.756428125,0.25,1.4953125,0.52578125
0.759100625,0.25,1.508203125,0.512890625
0.767874375,0.25,1.52109375,0.512890625
0.78611325,0.25,1.533984375,0.512890625
0.78657175,0.25,1.546875,0.512890625
0.78710925,0.25,1.559765625,0.512890625
0.789636,0.25,1.585546875,0.52578125
0.7927805,0.25,1.637109375,0.5515625
0.79906925,0.25,1.688671875,0.5515625
0.804381625,0.25,1.714453125,0.52578125
0.805465125,0.25,1.72734375,0.512890625
0.80671375,0.25,1.740234375,0.512890625
0.813339125,0.25,1.766015625,0.52578125
0.814046875,0.25,1.77890625,0.512890625
0.81492675,0.25,1.791796875,0.512890625
0.81732125,0.25,1.817578125,0.52578125
0.820278125,0.25,1.869140625,0.5515625
0.82460275,0.25,1.920703125,0.5515625
0.825609,0.25,1.946484375,0.52578125
0.826780875,0.25,1.972265625,0.52578125
0.867966625,-0.25,1.920703125,0.5515625
0.869042625,-0.25,1.894921875,0.52578125
0.870551375,-0.25,1.869140625,0.52578125
0.87325225,-0.25,1.817578125,0.5515625
0.87461575,-0.25,1.766015625,0.5515625
0.87622275,-0.25,1.714453125,0.5515625
0.880174,-0.25,1.611328125,0.603125
0.882674625,-0.25,1.508203125,0.603125
0.887410125,-0.25,1.405078125,0.603125
0.888603875,-0.25,1.353515625,0.5515625
0.889797375,-0.25,1.301953125,0.5515625
0.893159,-0.25,1.198828125,0.603125
0.899014125,-0.25,1.095703125,0.603125
0.900719625,-0.25,1.044140625,0.5515625
0.904959875,-0.25,0.992578125000002,0.5515625
0.90622025,-0.25,0.966796875000002,0.52578125
0.907270625,-0.25,0.941015625000002,0.52578125
0.909173875,-0.25,0.889453125000002,0.5515625
0.9204555,-0.25,0.786328125000002,0.603125
0.96233375,0.25,0.837890625000002,0.5515625
0.967663125,0.25,0.863671875000002,0.52578125
0.9683695,0.25,0.876562500000002,0.512890625
0.96900625,0.25,0.889453125000002,0.512890625
0.970458,0.25,0.915234375000002,0.52578125
0.98175775,0.25,0.966796875000002,0.5515625
0.9844365,0.25,0.992578125000002,0.52578125
0.986772625,0.25,1.018359375,0.52578125
0.98891,0.25,1.044140625,0.52578125
0.9925225,0.25,1.069921875,0.52578125
0.994324875,0.25,1.095703125,0.52578125
0.995786125,0.25,1.121484375,0.52578125
1.002760125,0.25,1.173046875,0.5515625
1.012872,0.25,1.198828125,0.52578125
1.013619125,0.25,1.21171875,0.512890625
1.014369375,0.25,1.224609375,0.512890625
1.026701625,0.25,1.250390625,0.52578125
1.027685375,0.25,1.26328125,0.512890625
1.028611875,0.25,1.276171875,0.512890625
1.032059875,0.25,1.301953125,0.52578125
1.0330835,0.25,1.327734375,0.52578125
1.03524875,0.25,1.353515625,0.52578125
1.044953,0.25,1.405078125,0.5515625
1.057678875,0.25,1.430859375,0.52578125
1.064120875,0.25,1.44375,0.512890625
1.064978375,0.25,1.456640625,0.512890625
1.076004625,0.25,1.46953125,0.512890625
1.08369675,0.25,1.482421875,0.512890625
1.084475875,0.25,1.4953125,0.512890625
1.095634125,0.25,1.508203125,0.512890625
1.102930375,0.25,1.52109375,0.512890625
1.103602875,0.25,1.533984375,0.512890625
1.142274875,0.25,1.546875,0.512890625
1.1431155,0.25,1.559765625,0.512890625
1.392472,-0.25,1.546875,0.512890625
1.3927815,-0.25,1.533984375,0.512890625
1.3931395,-0.25,1.52109375,0.512890625
1.394117875,-0.25,1.4953125,0.52578125
1.524290875,-0.25,1.46953125,0.512890625
1.525149625,-0.25,1.456640625,0.512890625
1.53462725,0.25,1.482421875,0.52578125
1.534926125,0.25,1.4953125,0.512890625
